iter	Passed	Remaining
0	6	1332
1	14	1443
2	19	1311
3	26	1274
4	32	1270
5	37	1203
6	42	1176
7	47	1142
8	58	1235
9	83	1593
10	110	1900
11	129	2035
12	150	2162
13	155	2062
14	162	2006
15	187	2156
16	195	2100
17	201	2032
18	209	1994
19	217	1957
20	223	1901
21	229	1860
22	239	1843
23	247	1814
24	253	1775
25	259	1733
26	263	1690
27	269	1656
28	278	1643
29	284	1611
30	293	1597
31	299	1573
32	305	1546
33	311	1521
34	319	1507
35	324	1478
36	331	1460
37	341	1455
38	352	1456
39	362	1448
40	374	1452
41	384	1447
42	392	1433
43	401	1422
44	409	1409
45	416	1393
46	427	1390
47	452	1433
48	470	1451
49	494	1484
50	500	1462
51	506	1440
52	511	1418
53	517	1399
54	526	1387
55	532	1369
56	538	1350
57	544	1333
58	550	1314
59	556	1297
60	561	1280
61	567	1262
62	572	1244
63	578	1229
64	584	1214
65	589	1196
66	594	1180
67	601	1167
68	607	1154
69	613	1139
70	618	1123
71	623	1108
72	629	1094
73	634	1080
74	640	1066
75	646	1054
76	652	1041
77	661	1034
78	664	1018
79	671	1006
80	675	992
81	679	977
82	684	964
83	689	952
84	695	940
85	699	927
86	704	915
87	711	905
88	718	896
89	722	883
90	727	871
91	732	859
92	738	849
93	743	838
94	748	827
95	753	815
96	758	805
97	764	795
98	770	785
99	775	775
100	779	764
101	784	754
102	790	744
103	799	737
104	805	729
105	811	719
106	817	710
107	824	702
108	831	694
109	835	683
110	840	673
111	845	664
112	853	656
113	859	648
114	867	641
115	874	633
116	880	624
117	886	616
118	893	607
119	898	599
120	904	590
121	909	581
122	914	572
123	921	564
124	928	556
125	934	548
126	940	540
127	947	532
128	953	524
129	961	517
130	967	509
131	973	501
132	979	493
133	984	485
134	990	476
135	995	468
136	1001	460
137	1007	452
138	1014	445
139	1021	437
140	1029	430
141	1035	422
142	1041	415
143	1047	407
144	1053	399
145	1059	392
146	1065	384
147	1070	375
148	1077	368
149	1085	361
150	1090	353
151	1101	347
152	1108	340
153	1115	333
154	1122	326
155	1130	318
156	1143	313
157	1165	309
158	1186	305
159	1210	302
160	1252	303
161	1307	306
162	1353	307
163	1390	305
164	1404	297
165	1417	290
166	1428	282
167	1438	274
168	1446	265
169	1458	257
170	1471	249
171	1481	241
172	1486	231
173	1491	222
174	1497	213
175	1502	204
176	1508	196
177	1513	187
178	1518	178
179	1524	169
180	1528	160
181	1533	151
182	1538	142
183	1545	134
184	1550	125
185	1556	117
186	1561	108
187	1566	100
188	1571	91
189	1577	83
190	1582	74
191	1587	66
192	1592	57
193	1601	49
194	1608	41
195	1612	32
196	1619	24
197	1624	16
198	1630	8
199	1635	0
